z_Rp,density_g_cm3,pressure_dyn_cm2,temperature_K,tau,velocity_km_s
-18.071847507331377,3.516243591596911e-20,5.65663278648871e-07,251565.67696966865,3.940707239244365e-07,357.3973031260675
-17.998533724340174,3.516243591596911e-20,5.65663278648871e-07,251565.67696966865,3.940707239244365e-07,357.3973031260675
-17.925219941348974,3.516243591596911e-20,5.65663278648871e-07,251565.67696966865,3.940707239244365e-07,357.3973031260675
-17.85190615835777,3.516243591596911e-20,5.65663278648871e-07,251565.67696966865,3.940707239244365e-07,357.3973031260675
-17.778592375366568,3.5132490669234024e-20,5.648567450936285e-07,251421.10656724146,4.0308969047720876e-07,357.4055967089591
-17.705278592375365,3.5132490669234024e-20,5.648567450936285e-07,251421.10656724146,4.0308969047720876e-07,357.4055967089591
-17.63196480938416,3.5132490669234024e-20,5.648567450936285e-07,251421.10656724146,4.0308969047720876e-07,357.4055967089591
-17.558651026392962,3.5132490669234024e-20,5.648567450936285e-07,251421.10656724146,4.0308969047720876e-07,357.4055967089591
-17.48533724340176,3.5132490669234024e-20,5.648567450936285e-07,251421.10656724146,4.0308969047720876e-07,357.4055967089591
-17.412023460410555,3.5132490669234024e-20,5.648567450936285e-07,251421.10656724146,4.0308969047720876e-07,357.4055967089591
-17.338709677419352,3.5132490669234024e-20,5.648567450936285e-07,251421.10656724146,4.0308969047720876e-07,357.4055967089591
-17.265395894428153,3.5132490669234024e-20,5.648567450936285e-07,251421.10656724146,4.0308969047720876e-07,357.4055967089591
-17.19208211143695,3.5132490669234024e-20,5.648567450936285e-07,251421.10656724146,4.0308969047720876e-07,357.4055967089591
-17.118768328445746,3.509968305317832e-20,5.639737721943904e-07,251262.72560608826,4.1198090714480713e-07,357.41482909248145
-17.045454545454543,3.509968305317832e-20,5.639737721943904e-07,251262.72560608826,4.1198090714480713e-07,357.41482909248145
-16.972140762463344,3.509968305317832e-20,5.639737721943904e-07,251262.72560608826,4.1198090714480713e-07,357.41482909248145
-16.89882697947214,3.509968305317832e-20,5.639737721943904e-07,251262.72560608826,4.1198090714480713e-07,357.41482909248145
-16.825513196480937,3.509968305317832e-20,5.639737721943904e-07,251262.72560608826,4.1198090714480713e-07,357.41482909248145
-16.752199413489734,3.509968305317832e-20,5.639737721943904e-07,251262.72560608826,4.1198090714480713e-07,357.41482909248145
-16.67888563049853,3.509968305317832e-20,5.639737721943904e-07,251262.72560608826,4.1198090714480713e-07,357.41482909248145
-16.60557184750733,3.509968305317832e-20,5.639737721943904e-07,251262.72560608826,4.1198090714480713e-07,357.41482909248145
-16.532258064516128,3.506561705473841e-20,5.630574645989158e-07,251098.19376869107,4.2074495116741676e-07,357.42402052962007
