i,theta_y_deg,t_days,t_hours,flux_relative
7.000000000000000000e+01,3.749999999999999556e+00,5.091460878124999534e-02,1.221950610749999999e+00,9.980219383052666426e-01
7.100000000000000000e+01,3.875000000000000000e+00,5.261176240729166509e-02,1.262682297775000073e+00,9.990868203598157749e-01
7.200000000000000000e+01,4.000000000000000000e+00,5.430891603333333484e-02,1.303413984800000147e+00,9.998981187357910416e-01
7.300000000000000000e+01,4.125000000000000000e+00,5.600606965937500459e-02,1.344145671825000221e+00,1.000000000000000000e+00
7.400000000000000000e+01,4.250000000000000000e+00,5.770322328541667434e-02,1.384877358850000295e+00,1.000000000000000000e+00
7.500000000000000000e+01,4.375000000000000000e+00,5.940037691145833715e-02,1.425609045875000147e+00,1.000000000000000000e+00
7.600000000000000000e+01,4.500000000000000000e+00,6.109753053749999302e-02,1.466340732899999777e+00,1.000000000000000000e+00
7.700000000000000000e+01,4.625000000000000000e+00,6.279468416354166971e-02,1.507072419925000073e+00,1.000000000000000000e+00
7.800000000000000000e+01,4.750000000000000000e+00,6.449183778958333946e-02,1.547804106950000147e+00,1.000000000000000000e+00
7.900000000000000000e+01,4.875000000000000000e+00,6.618899141562499533e-02,1.588535793974999777e+00,1.000000000000000000e+00
8.000000000000000000e+01,5.000000000000000000e+00,6.788614504166666508e-02,1.629267480999999851e+00,1.000000000000000000e+00
